Title,Category,Body,Keywords,,,,,,,,,
Blue Bin (empty aerosol cans),Blue Bin,"<ul><li>Place empty aerosol cans into your <strong>Blue Bin</strong> and their plastic caps in the <strong>Garbage Bin</strong>.</li><li>Aerosol cans containing hazardous products should be disposed of as&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"">Household Hazardous Waste.</a></li></ul>","aerosol cans (empty), spray paint cans, hairspray cans, mousse cans, compressed air cans, shaving cream cans, shaving gel cans, shave gel cans, shave cream cans, whipping cream cans, whipped cream cans",,,,,,,,,
Blue Bin (empty metal paint cans and lids),Blue Bin,"<ul><li>Remove lid and place empty can and lid in the&nbsp;<strong>Blue Bin</strong> (cans with paint are&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"">Household Hazardous Waste</a>).</li></ul>","metal paint cans (empty), metal paint can lids, roofing tar metal pails (empty), roofing tar cans (empty)",,,,,,,,,
Blue Bin (foam),Blue Bin,<ul><li>Empty and rinse (if necessary and possible) this item before placing it in your <strong>Blue Bin</strong>.</li><li>Any type of black foam is not accepted and should be placed in the <strong>Garbage Bin</strong>.</li></ul>,"polystyrene foam food packaging, coffee cup (styrofoam), foam cup, takeout foam coffee cup, foam egg carton, polystyrene foam cup, foam plate, foam takeout container, foam take-out container, Styrofoam takeout container, foam tray (non-black), foam meat tray (non-black), foam clamshell container, Styrofoam clamshell container, extruded foam packaging, electronic foam packaging, styrofoam plate",,,,,,,,,
Blue Bin (frozen juice containers),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item, then place metal end in can and pinch closed before placing in your <strong>Blue Bin</strong>.</li>  <li>Place plastic pull-off strips in your <strong>Garbage Bin</strong>.</li> </ul>,frozen juice containers,,,,,,,,
Blue Bin (glass bottle and jar),Blue Bin,<ul>  <li>Place empty glass bottles and jars with metal lids on in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Remove rubber dropper lids and place in the&nbsp;<strong>Garbage Bin</strong>.</li> </ul>,"glass bottles, glass jars, glass containers, Mason jars, glass carboy, glass home brewing bottles, glass wine making bottles, glass cooking oil bottles, baby food jar, glass prescription bottles, glass vitamin bottles, glass perfume bottles",,,,,,,,,
Blue Bin (metal bottle),Blue Bin,<ul><li>Discard any plastic lids in your <strong>Garbage Bin</strong>, then empty and rinse (if necessary and possible) this item before placing it in your <strong>Blue Bin</strong>.</li></ul>,"metal bottles, aluminum bottles, stainless steel bottles, reusable metal bottles, metal water bottles, metal mugs (without any plastic), reusable stainless steel mugs (without any plastic), metal cooking oil containers",,,,,,,,
Blue Bin (metal can),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it in your <strong>Blue Bin.</strong></li>  <li>To avoid injury, place sharp-edged lids inside cans and pinch shut.</li> </ul>,"metal cans, food cans, tin, steel cans, soup cans, coffee cans, fish can, tuna cans, salmon cans, sardines cans, tomato sauce cans, pasta sauce cans, candy metal tins, mint metal tins",,,,,,,,
Blue Bin (metal lid),Blue Bin,<ul>  <li>Place this item in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"metal lids, glass bottle lids, glass jar lids, Mason jar lids",,,,,,,,,
Blue Bin (milk bags),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"milk bags, inner milk bags, outer milk bags,",,,,,,,,,
Blue Bin (miscellaneous plastic),Blue Bin,<ul><li>Place this item in the&nbsp;<strong>Blue Bin.</strong></li></ul>,"plastic envelopes, Canada Post plastic sealing envelopes, plastic shipping envelopes, plastic mailing envelopes, plastic fruit baskets, plastic berry baskets, green plastic mesh fruit baskest, dental floss boxes, PETE 1 packaging, plastic handles on cardboard baskets, plastic cat litter boxes, plastic kitty litter boxes, plastic cat litter bins",,,,,,,,,
Blue Bin (molded paper),Blue Bin,<ul>  <li>Place this empty item in your <strong>Blue Bin</strong>, though if it is soiled with food, please place it in your <strong>Green Bin</strong>.</li> </ul>,"molded paper, paper egg cartons, paper take-out coffee trays, paper berry boxes",,,,,,,
Blue Bin (newspaper and flyers - remove plastic bag),Blue Bin,<ul>  <li>Remove plastic over-wrap/bag from flyers/newspaper and place items separately in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Staples do not need to be removed from paper.</li> </ul>,"ads, flyers, junk mail, non-addressed mail, newspapers, magazines, catalogues",,,,,,,,,
Blue Bin (or return to Beer Store),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin.</strong></li>  <li>Alternatively," alcohol containers can be returned for deposit to the&nbsp;<a href=""http://www.thebeerstore.ca/locations"" target=""_blank"">Beer Store.</a><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif; line-height: 1.42857;"">&nbsp;</span></li> </ul>","beer bottles, beer cans, wine bottles, wine cartons, liquor bottles, spirit bottles, alcohol bottles",,,,,
Blue Bin (other paper),Blue Bin,<ul><li>Place this item in the&nbsp;<strong>Blue Bin</strong>.&nbsp;</li></ul>,"paper lottery tickets, packing paper, kraft paper, phone books, telephone directory books, file folders, posters (unlaminated), paper greeting cards, paper business card, paper gift cards, sticky notes, Post-it notes, paper postcards, index cards, receipt (matte paper), sales receipt (matte paper), cash receipt (matte paper), coffee cup sleeves, paper airplane",,,,,,,,,
Blue Bin (paper envelopes),Blue Bin,<ul><li>Place this item in the&nbsp;<strong>Blue Bin</strong>.</li></ul>,paper envelopes,,,,,,,,,
Blue Bin (paper gift bags/boxes),Blue Bin,<ul>  <li>Remove and discard any ribbons, ropes and grommets and place the paper bag/box in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Metallic/foil wrapping paper goes in the&nbsp;<strong>Garbage Bin</strong>.&nbsp;</li> </ul>,"paper gift bags, paper gift boxes",,,,,,,,
Blue Bin (paper rolls/tubes),Blue Bin,<ul>  <li>Place this item in the&nbsp;<strong>Blue Bin.</strong></li> </ul>,"paper rolls, toilet paper rolls, paper towel rolls, toilet paper tubes, paper tubes, cardboard tubes",,,,,,,,,
Blue Bin (paper with binding),Blue Bin,<ul>  <li>Remove the metal or plastic coil binding (if applicable) and place it in the&nbsp;<strong>Garbage Bin</strong>, then place the paper in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"calendars, notebooks, daytimers, manual, diary, workbooks, notepads, spiral bound books",,,,,,,,
Blue Bin (plastic beverage bottle),Blue Bin,<ul><li>Empty and rinse (if necessary and possible) this item before placing it with the lid on, into the&nbsp;<strong>Blue Bin</strong>.</li></ul>,"plastic bottles, plastic water bottles, plastic drink bottles, plastic juice bottles, plastic pop bottles, plastic soda bottles, PET bottles, PETE bottles, water cooler bottles, plastic carboy, plastic beverage containers, plastic reusable water bottles, Nalgene water bottles, plastic cooking oil bottles",,,,,,,,
Blue Bin (plastic cups),Blue Bin,<ul><li>Place empty and clean cup with lid in the <strong>Blue Bin</strong>.</li><li>Remove and discard straw into the <strong>Garbage Bin</strong>.</li><li>Place all black and compostable plastic in the <strong>Garbage Bin</strong>.</li></ul>,"plastic cups, polystyrene cups, disposable plastic cups, plastic cold drink cups",,,,,,,,,
Blue Bin (plastic flower pot),Blue Bin,<ul>  <li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Any type of black or compostable plastic is not accepted and should be placed in the <strong>Garbage Bin</strong>.</li> </ul>,"plastic flower pots, plastic plant pots, plastic plant trays, plastic hanging baskets",,,,,,,,,
Blue Bin (plastic food bags),Blue Bin,<ul><li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li></ul>,"plastic sandwich bags, Ziploc bags, baggie, plastic storage bags, reclosable plastic, resealable plastic bags, Ziploc sandwich bags, Ziploc freezer bags, plastic bread bags (non-foil), plastic produce bag, produce bags, plastic bulk food bags, frozen vegetable bags (not stand-up pouch type), frozen fruit bags (not stand-up pouch type), expanded polystyrene foam",,,,,,,,,
Blue Bin (plastic food container and tray),Blue Bin,<ul>  <li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Any type of black or compostable plastic is not accepted and should be placed in the <strong>Garbage Bin</strong>.</li> </ul>,"plastic egg cartons, clear plastic food tubs, clear plastic hummus containers, clear plastic dip containers, Ferrero Rocher containers, plastic container for mushrooms, polycarbonate food containers, plastic cookie trays, hard plastic meat trays, plastic cracker trays, plastic chocolate trays",,,,,,,,,
Blue Bin (plastic jug),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it with the lid or pump on into the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"plastic jugs, HDPE bottle, plastic detergent bottles, plastic bleach bottles, plastic laundry detergent measuring cup",,,,,,,,,
Blue Bin (plastic non-shopping bags),Blue Bin,<ul>  <li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Black and compostable bags should be placed in your <strong>Garbage Bin.</strong></li> </ul>,"plastic bags (soft and stretchy), polyethylene plastic bags, dry cleaning bags, polyethylene dry cleaning bags, mulch bags, sand bags, triple mix bags, fertilizer bags, soil bags, peat moss bags, manure bags, compost bags, road salt bags, clear recycling bags, transparent recycling bags, mattress bags, plastic newspaper bags",,,,,,,,,
Blue Bin (plastic overwrap),Blue Bin,<ul><li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li></ul>,"plastic magazine overwrap, plastic catalogue overwrap, plastic flyer bag, plastic newspaper wrapper, water bottle overwrap (packaging), pop bottle overwrap (packaging), pop can overwrap, soft drink overwrap (packaging), plastic overwrap, overwrap, over wrap, diaper outer bag, feminine hygiene outer bag",,,,,,,,,
Blue Bin (plastic pail),Blue Bin,<ul>  <li>Place hard, non-black, plastic pails and drums in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Remove any metal handles and place those in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"plastic pails, plastic drums, plastic buckets",,,,,,,
Blue Bin (plastic pill/vitamin bottle),Blue Bin,<ul>  <li>Place this empty item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Any type of black plastic is not accepted and should be placed in the <strong>Garbage Bin</strong>.</li> </ul>,"plastic pill bottles (empty), plastic vitamin bottles (empty), plastic medicine bottles (empty), plastic prescription bottles (empty), plastic medication vials (empty)",,,,,,,,,
Blue Bin (plastic plates),Blue Bin,<ul><li>Place clean item in the <strong>Blue Bin.</strong></li><li>Place all black and compostable plastic in the <strong>Garbage Bin</strong>.</li></ul>,"disposable plastic plates, plastic cutlery, plastic forks, plastic knife, plastic spoons",,,,,,,,,
Blue Bin (plastic shopping bags),Blue Bin,<ul>  <li>Reuse plastic bags if possible, i.e. to line your Garbage or Green Bins.</li>  <li>Bags with draw strings, metal detailing and hard handles and compostable bags should be placed in your&nbsp;<strong>Garbage Bin</strong>.</li>  <li>Otherwise, bundle your bags inside one bag and tie handles closed rather than put the bags in loose.</li> </ul>,"plastic shopping bags, polyethylene bags, plastic grocery bags, plastic retail bags",,,,,,
Blue Bin (plastic soap bottles),Blue Bin,<ul><li>Empty and rinse (if necessary and possible) this item before placing it with the lid, pump or sprayer on in the&nbsp;<strong>Blue Bin</strong>.</li><li>Any type of black or compostable plastic is not accepted and should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"soap bottle (plastic), plastic shampoo bottle, plastic lotion bottles, plastic moisturizer bottles, plastic sunscreen bottles, plastic mouth wash bottles, plastic hairspray bottles, plastic cosmetic bottles, plastic perfume bottles",,,,,,,,
Blue Bin (plastic spray bottles),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it with the sprayer on in the&nbsp;<strong>Blue Bin.</strong></li> </ul>,"plastic spray bottles, cleaning spray bottles",,,,,,,,,
Blue Bin (plastic squeezable food bottle),Blue Bin,<ul>  <li>Empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin.</strong></li> </ul>,"plastic squeezable food bottles, plastic squeezable ketchup bottles, plastic squeezable mayonnaise bottles, plastic squeezable mustard bottles, plastic squeezable salad dressing bottles, plastic squeezable barbeque sauce bottles, plastic squeezable soya sauce bottles, plastic squeezable condiment bottles",,,,,,,,,
Blue Bin (plastic takeout food and produce containers),Blue Bin,<ul><li>Empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin</strong>.</li><li>Any type of black or compostable plastic is not accepted and should be placed in the <strong>Garbage Bin</strong>.</li></ul>,"plastic take out food containers, clam shell containers, PETE #1 containers, plastic produce containers, plastic strawberry container, plastic berry containers, plastic bakery container, plastic salad container, plastic cake container, plastic sprout container, plastic tomato container, clear plastic produce container, plastic fruit container, coffee cup lid, plastic cup lid, clear plastic clamshells",,,,,,,,,
Blue Bin (plastic tubs and jar lids),Blue Bin,<ul>  <li>Place this empty item in the <strong>Blue Bin</strong>.</li> </ul>,"plastic food tub lids, plastic food jar lids, Tupperware, Rubbermaid food containers",,,,,,,,,
Blue Bin (plastic tubs/jars/cups),Blue Bin,<ul>  <li>Remove and discard any foil or plastic seals in the <strong>Garbage Bin</strong>, then rinse (if necessary and possible) before placing in the&nbsp;<strong>Blue Bin</strong> with lid on.</li> </ul>,"sour cream tubs, margarine tubs, plastic ice cream tubs, cottage cheese tubs, yogourt tubs, plastic jars, plastic food tubs",,,,,,,,
Blue Bin (plastic/metal baby bottles),Blue Bin,<ul>  <li>Discard any plastic/silicone lids in the&nbsp;<strong>Garbage Bin</strong>, then empty and rinse (if necessary and possible) this item before placing it in the&nbsp;<strong>Blue Bin</strong>.</li> </ul>,"plastic baby bottles, metal baby bottles, stainless steel baby bottles",,,,,,,,
Blue Bin (shredded paper),Blue Bin,<ul>  <li>Place shredded paper in a clear plastic bag, tie the bag closed and place it in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Do not place shredded paper loose in your <strong>Blue Bin</strong>.</li> </ul>,"shredded paper, shredded files, shredded confidential documents",,,,,,,,
Blue Bin (single-serve plastic cup),Blue Bin,<ul>  <li>Remove and discard any foil or plastic seals in the Garbage Bin, then rinse (if necessary and possible) before placing in the&nbsp;<strong>Blue Bin</strong>.</li> </ul> <p>&nbsp;</p>,"single-serve yogourt cups, single-serve creamer containers, single-serve milk containers, single-serve jam packs, single-serve peanut butter pack, single-serve butter pack, single-serve pudding cups, single-serve fruit cups, single-serve yogurt cups, single-serve yoghurt cups",,,,,,,,
Blue Bin (tea light holders) (aluminum),Blue Bin,<ul>  <li>Remove wax from aluminum tea light holder and place in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>If not possible to remove wax, please place in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,tea light holders (aluminum only) ,,,,,,,,
Blue Bin (wrapping paper),Blue Bin,<ul><li>Remove and discard any ribbons, bows and tape and place the paper in the&nbsp;<strong>Blue Bin. </strong></li><li>Metallic/foil wrapping paper goes in the&nbsp;<strong>Garbage Bin</strong>.</li></ul>,"gift wrapping paper, tissue wrapping paper",,,,,,,,
Blue Bin (writing/printed paper),Blue Bin,<ul>  <li>Place this item in the&nbsp;<strong>Blue Bin</strong>.</li>  <li>Staples do not need to be removed from paper.</li> </ul>,"paper, writing paper, lined paper, fine paper, printed paper, computer paper, fax paper, glossy paper, newsprint, edge notched paper, paper stock",,,,,,,,,
Christmas Tree (Christmas Tree real),Christmas Tree,<ul><li>Remove all decorations, tinsel etc. and do not put in any type of bag.</li><li>Christmas tree collection occurs in January - refer to your collection calendar for specific dates.&nbsp;</li><li>Alternatively," trees may be taken to a <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/locations/"">Drop-Off Depot</a> as Yard Waste or set out at the curb on Yard Waste collection days starting in March.</li></ul>",Christmas tree (real),,,,,,,
Coffee Pod,Garbage,<ul><li>Place item in the <strong>Garbage Bin.</strong></li><li>All coffee pods," including those that are labelled as ""recyclable"" or ""compostable"" must be disposed of in the garbage or returned to retailers who have return programs.</li><li>The City does not accept coffee pods in its Blue Bin Recycling or Green Bin Organics programs.</li></ul>","coffee disc, Tassimo coffee pod, Keurig coffee pod, Nespresso coffee pod, T-discs, K cup, k-cup, coffee pods, compostable coffee pod, coffee capsule, K-Cup, k-cup coffee pod, coffee pod (all types),",,,,,,,,
Contact len,Garbage,"<p class=""MsoNormal""><a name=""_GoBack""></a></p><ul><li>Place this item in the&nbsp;<strong>Garbage Bin.</strong></li></ul>","plastic contact lens cases, contact lens blister packs",,,,,,,,,
Depot (car parts),Depot,"<ul>  <li>Take this item to a&nbsp;<span><a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depot</a>.</span></li>  <li><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif; line-height: 1.42857;"">Make sure that all gasoline and oil has been drained. Please note disposal fees may apply.</span></li> </ul> <p></p>", helvetica,,,,,,
Depot (cast iron tub),Depot,"<ul>  <li>Take this item to a&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depot</a>. Disposal fees may apply.</li> </ul>",cast iron tub,,,,,,,,,
"Depot (construction & renovation waste - doors, windows & flooring)",Depot,<ul>  <li>This item is considered construction," renovation and demolition waste and is not collected curbside.</li>  <li>Take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depot</a>.&nbsp;Please note disposal fees may apply.</li> </ul> <p></p>","doors, wooden door, closet doors, wooden garage doors, folding wooden door, metal doors, aluminum doors, metal garage doors, screen door, patio doors, glass door, shower doors, window frames, window glass, window shutters, wood flooring, parquet flooring, tiles, ceramic tiles, porcelain tiles, slate tiles, floor tiles",,,,,,,,
Depot (construction & renovation waste 1),Depot,<ul><li>This item is not collected at curbside.</li><li>If less than 1.2 meters (4 feet) in length, item can be taken to one of the City's Drop-Off Depots.</li><li>If longer than 1.2 meters (4 feet), make arrangements with private company specializing in disposing of this type of waste.</li></ul>,"lumber, wood, skid, pressure treated wood, ceiling tiles, wood panelling, plywood, fencing, baseboards, quarter rounds, plastic baseboard, particle board, particleboard, chipboard, Masonite, aluminum siding, vinyl siding, shingles, roof shingles, saw dust, sawdust, gazebo, awning, garage door opener motor, garage door rails",,,,,,,
Depot (construction & renovation waste 2),Depot,<ul>  <li>This item is considered construction," renovation and demolition waste and is not collected curbside.</li>  <li>Take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depot</a>.&nbsp;Please note disposal fees may apply.</li> </ul>","insulation, fibre-glass, fibreglass, pink fibre glass, ductile foam sheet, polystyrene rigid insulation, Styrofoam insulation, eavestrough, downspout, drywall (clean painted vinyl or paper-covered only), gyp rock, plaster, insulation urea formaldehyde",,,,,,,,
Depot (construction & renovation-kitchen & bath),Depot,<ul><li>This item is considered construction," renovation and demolition waste and is not collected curbside.</li><li>Take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depot</a>. Please note disposal fees may apply.</li></ul>","tub, bathtub (non-metal), fiberglass tub, acrylic tub, shower (dismantled), fiberglass shower stall, shower insert, metal shower enclosure, shower walls, jacuzzi, vanity (non-metal), counter top, countertop, kitchen cabinet, kitchen cupboards",,,,,,,,
Depot (other),Depot,"<ul>  <li>This item is not collected curbside.</li>  <li>Take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depot</a>.&nbsp;Please note disposal fees may apply.</li> </ul>","car seat, x-ray plate, pool tarp, pool cover, pool liner, vinyl pool liner, hot tub cover, pool blanket, windsurf board, solar panels (large)",,,,,,,,,
Depot (railway ties),Depot,<ul><li>This item is not collected at curbside.</li><li>If less than 1.2 meters (4 feet) in length, item can be taken to one of the City's Drop-Off Depots.</li><li>If longer than 1.2 meters (4 feet), make arrangements with private company specializing in disposing of this type of waste.</li></ul>,"railway ties, railroad tie, railroad ties",,,,,,,
Depot (tires),Depot,<ul><li>Rubber tires, excluding heavy truck, forklift and large off-road tires," are accepted at some&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"">Drop-Off Depots.</a></li><li>Total tires up to 20 kg (44lbs) are free to drop off. <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/fees-for-drop-off-depots/"">Fees</a> apply to total tires that exceed 20 kg (44lbs).</li><li>Check the <a href=""https://rpra.ca/programs/tires/collectionsites/"" target=""_blank"" rel=""noopener"">Resource Productivity &amp; Recovery Authority</a> for other tire collection sites.</li></ul>","tire, tyre, vehicle tire, car tire, small truck tire",,,,,,
Depot/Green Bin (cooking oil),Depot,<ul><li>Saturate a paper towel with the cooking oil, freeze it or let it harden, and then place it in their&nbsp;<strong>Green Bin</strong>.</li><li>Used cooking oil should never be poured down the sink, drain or toilet because it can negatively impact the system of sewer pipes in your home and neighbourhood," causing sewer backups.</li><li>Dispose of used cooking oil at a <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Household Hazardous Waste Depots</a> or at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li><p>For cooking oil (liquid) between 10 to 50 litres/kilograms (no more than 20 litres per container)"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</p></li></ul>","cooking oil (liquid), deep fryer oil, vegetable oil",,,,
Electronic Waste (audio),Electronic Waste,"<ul><li>Set out electronic equipment at curbside on scheduled Garbage collection day. &nbsp;</li><li>Place these items for pick up 0.5 meter (2 feet) away from the&nbsp;Garbage Bin.</li><li>Large items can be put on the ground. Small items should be put in an open cardboard box or clear plastic bag.</li><li>See our&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/electronic-waste/"" target=""_blank"" rel=""noopener"">Electronics Waste</a>&nbsp;page for more information.</li></ul>","telephone, phone, cellular phone, cell phone, mobile phone, smartphone, iPhone, Blackberry, car phone, PDA, personal digital assistant, pager, answering machine, audio electronics, turntable, radio, receiver, tuner, stereo, equalizer, amplifier, preamplifier, preamp, recording equipment, stereo system, compact disc player, CD player, Walkman, speaker, stereo speaker",,,,,,,,,
Electronic Waste (AV),Electronic Waste,"<ul><li>Set out electronic equipment at curbside on scheduled Garbage collection day. &nbsp;</li><li>Place these items for pick up 0.5 meter (2 feet) away from the&nbsp;Garbage Bin.</li><li>Large items can be put on the ground. Small items should be put in an open cardboard box or clear plastic bag.</li><li>See our&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/electronic-waste/"" target=""_blank"" rel=""noopener"">Electronics Waste</a> page for more information.</li></ul>","television, TV, TV set, VCR, Video Cassette Recorder, DVD player, Digital Versatile Disk player, Blu-ray player, VHS player, computer cables",,,,,,,,,
Electronic Waste (computer-related),Electronic Waste,"<ul><li>Set out electronic equipment at curbside on scheduled Garbage collection day. &nbsp;</li><li>Place these items for pick up 0.5 meter (2 feet) away from the&nbsp;Garbage Bin.</li><li>Large items can be put on the ground. Small items should be put in an open cardboard box or clear plastic bag.</li><li>See our&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/electronic-waste/"" target=""_blank"" rel=""noopener"">Electronics Waste</a>&nbsp;page for more information.</li></ul>","electronic waste, computer, laptop, PC, desktop computer, computer tower, portable computer, monitor, CRT monitor, LCD monitor, computer notebook, computer notepad, computer terminal, modem, computer peripheral, computer speaker, disk drive, computer accessories, keyboard, mouse, speaker, headset, printer",,,,,,,,,
